crdm_sure_amt,crdm_sure_p,crdm_lott_top,crdm_lott_bot,crdm_lott_p,crdm_amb_lev,crdm_domain,crdm_img,crdm_win_side
9.54,100,0.00,52.61,13,0,gain,risk_blue_13.bmp,bottom
9.54,100,0.00,30.85,13,0,gain,risk_blue_13.bmp,bottom
9.54,100,68.35,0.00,13,0,gain,risk_red_13.bmp,top
9.54,100,0.00,32.85,13,0,gain,risk_blue_13.bmp,bottom
9.54,100,0.00,34.85,13,0,gain,risk_blue_13.bmp,bottom
14.18,100,0.00,18.54,25,0,gain,risk_blue_25.bmp,bottom
14.18,100,30.85,0.00,25,0,gain,risk_red_25.bmp,top
14.18,100,53.30,0.00,25,0,gain,risk_red_25.bmp,top
14.18,100,34.85,0.00,25,0,gain,risk_red_25.bmp,top
14.18,100,0.00,43.86,25,0,gain,risk_blue_25.bmp,bottom
14.18,100,0.00,32.85,25,0,gain,risk_blue_25.bmp,bottom
18.28,100,24.06,0.00,38,0,gain,risk_red_38.bmp,top
18.28,100,0.00,12.24,38,0,gain,risk_blue_38.bmp,bottom
18.28,100,34.85,0.00,38,0,gain,risk_red_38.bmp,top
18.28,100,0.00,32.85,38,0,gain,risk_blue_38.bmp,bottom
18.28,100,0.00,40.32,38,0,gain,risk_blue_38.bmp,bottom
18.28,100,0.00,30.85,38,0,gain,risk_blue_38.bmp,bottom
18.28,100,0.00,46.97,38,0,gain,risk_blue_38.bmp,bottom
21.59,100,0.00,34.85,50,0,gain,risk_blue_50.bmp,bottom
21.59,100,30.85,0.00,50,0,gain,risk_red_50.bmp,top
21.59,100,26.34,0.00,50,0,gain,risk_red_50.bmp,top
21.59,100,0.00,43.86,50,0,gain,risk_blue_50.bmp,bottom
21.59,100,18.54,0.00,50,0,gain,risk_red_50.bmp,top
21.59,100,32.85,0.00,50,0,gain,risk_red_50.bmp,top
21.59,100,0.00,38.61,50,0,gain,risk_blue_50.bmp,bottom
27.60,100,0.00,36.76,75,0,gain,risk_blue_75.bmp,bottom
27.60,100,32.85,0.00,75,0,gain,risk_red_75.bmp,top
27.60,100,0.00,23.93,75,0,gain,risk_blue_75.bmp,bottom
27.60,100,34.85,0.00,75,0,gain,risk_red_75.bmp,top
27.60,100,28.62,0.00,75,0,gain,risk_red_75.bmp,top
27.60,100,30.85,0.00,75,0,gain,risk_red_75.bmp,top
27.60,100,40.41,0.00,75,0,gain,risk_red_75.bmp,top
16.02,100,0.00,32.85,50,24,gain,risk_blue_50.bmp,bottom
16.02,100,34.85,0.00,50,24,gain,risk_red_50.bmp,top
16.02,100,21.59,0.00,50,24,gain,risk_red_50.bmp,top
16.02,100,30.85,0.00,50,24,gain,risk_red_50.bmp,top
16.02,100,0.00,50.00,50,24,gain,risk_blue_50.bmp,bottom
16.02,100,0.00,0.00,50,24,gain,risk_blue_50.bmp,bottom
16.02,100,42.00,0.00,50,24,gain,risk_red_50.bmp,top
7.89,100,0.00,34.85,50,50,gain,risk_blue_50.bmp,bottom
7.89,100,32.85,0.00,50,50,gain,risk_red_50.bmp,top
7.89,100,30.85,0.00,50,50,gain,risk_red_50.bmp,top
7.89,100,0.00,58.75,50,50,gain,risk_blue_50.bmp,bottom
7.89,100,0.00,78.60,50,50,gain,risk_blue_50.bmp,bottom
-0.10,100,0.00,-8.42,13,0,loss,risk_blue_13.bmp,bottom
-0.10,100,0.00,-10.42,13,0,loss,risk_blue_13.bmp,bottom
-0.10,100,-12.42,0.00,13,0,loss,risk_red_13.bmp,top
-0.45,100,-8.42,0.00,25,0,loss,risk_red_25.bmp,top
-0.45,100,-12.42,0.00,25,0,loss,risk_red_25.bmp,top
-0.45,100,-10.42,0.00,25,0,loss,risk_red_25.bmp,top
-0.45,100,-58.71,0.00,25,0,loss,risk_red_25.bmp,top
-1.17,100,-0.43,0.00,38,0,loss,risk_red_38.bmp,top
-1.17,100,0.00,-10.42,38,0,loss,risk_blue_38.bmp,bottom
-1.17,100,-83.55,0.00,38,0,loss,risk_red_38.bmp,top
-1.17,100,0.00,-8.42,38,0,loss,risk_blue_38.bmp,bottom
-1.17,100,-12.42,0.00,38,0,loss,risk_red_38.bmp,top
-1.17,100,0.00,-37.19,38,0,loss,risk_blue_38.bmp,bottom
-2.17,100,-10.42,0.00,50,0,loss,risk_red_50.bmp,top
-2.17,100,-8.42,0.00,50,0,loss,risk_red_50.bmp,top
-2.17,100,0.00,-58.71,50,0,loss,risk_blue_50.bmp,bottom
-2.17,100,0.00,-1.51,50,0,loss,risk_blue_50.bmp,bottom
-2.17,100,-29.06,0.00,50,0,loss,risk_red_50.bmp,top
-2.17,100,-12.42,0.00,50,0,loss,risk_red_50.bmp,top
-5.43,100,0.00,-37.67,75,0,loss,risk_blue_75.bmp,bottom
-5.43,100,0.00,-8.42,75,0,loss,risk_blue_75.bmp,bottom
-5.43,100,0.00,-3.50,75,0,loss,risk_blue_75.bmp,bottom
-5.43,100,-0.39,0.00,75,0,loss,risk_red_75.bmp,top
-5.43,100,0.00,-21.68,75,0,loss,risk_blue_75.bmp,bottom
-5.43,100,-12.42,0.00,75,0,loss,risk_red_75.bmp,top
-5.43,100,-10.42,0.00,75,0,loss,risk_red_75.bmp,top
-2.96,100,-8.42,0.00,50,24,loss,risk_red_50.bmp,top
-2.96,100,0.00,-10.42,50,24,loss,risk_blue_50.bmp,bottom
-2.96,100,-2.17,0.00,50,24,loss,risk_red_50.bmp,top
-2.96,100,-50.00,0.00,50,24,loss,risk_red_50.bmp,top
-2.96,100,0.00,-12.42,50,24,loss,risk_blue_50.bmp,bottom
-2.96,100,0.00,-0.00,50,24,loss,risk_blue_50.bmp,bottom
-2.96,100,0.00,-26.08,50,24,loss,risk_blue_50.bmp,bottom
-3.98,100,-12.42,0.00,50,50,loss,risk_red_50.bmp,top
-3.98,100,-8.42,0.00,50,50,loss,risk_red_50.bmp,top
-3.98,100,-10.42,0.00,50,50,loss,risk_red_50.bmp,top
-3.98,100,-2.82,0.00,50,50,loss,risk_red_50.bmp,top
-3.98,100,0.00,-43.36,50,50,loss,risk_blue_50.bmp,bottom
-3.98,100,-23.74,0.00,50,50,loss,risk_red_50.bmp,top
-3.98,100,0.00,-0.09,50,50,loss,risk_blue_50.bmp,bottom
-5.06,100,0.00,-12.42,50,74,loss,risk_blue_50.bmp,bottom
-5.06,100,-10.42,0.00,50,74,loss,risk_red_50.bmp,top
-5.06,100,-38.86,0.00,50,74,loss,risk_red_50.bmp,top
-5.06,100,-22.11,0.00,50,74,loss,risk_red_50.bmp,top
-5.06,100,-0.31,0.00,50,74,loss,risk_red_50.bmp,top
-5.06,100,-3.35,0.00,50,74,loss,risk_red_50.bmp,top
-5.06,100,-8.42,0.00,50,74,loss,risk_red_50.bmp,top
