category,p_reward,ambiguity,value_reward,SV_reward,value_safe,SV_New_Safe,deltaSV
MaxSVdelta,0.75,0.0,40.41,336.19,27.60,238.89483647137098,97.3
MaxSVdelta,0.50,0.0,43.86,256.57,21.59,159.28369492064374,97.29
MaxSVdelta,0.38,0.0,46.97,218.35,18.28,121.02629135757414,97.32
MaxSVdelta,0.50,0.24,50.00,194.64,16.02,97.33836364426612,97.3
MaxSVdelta,0.25,0.0,53.30,176.94,14.18,79.58490228035525,97.36
MaxSVdelta,0.13,0.0,68.35,138.72,9.54,41.37474161474421,97.35
MaxSVdelta,0.50,0.5,78.60,127.54,7.89,30.242457484887236,97.3
half_maxSV_delta,0.75,0.0,36.76,287.53,27.60,238.89483647137098,48.64
half_maxSV_delta,0.50,0.0,38.61,207.91,21.59,159.28369492064374,48.63
half_maxSV_delta,0.38,0.0,40.32,169.69,18.28,121.02629135757414,48.66
half_maxSV_delta,0.50,0.24,42.00,145.98,16.02,97.33836364426612,48.64
half_maxSV_delta,0.25,0.0,43.86,128.28,14.18,79.58490228035525,48.7
half_maxSV_delta,0.13,0.0,52.61,90.06,9.54,41.37474161474421,48.69
half_maxSV_delta,0.50,0.5,58.75,78.89,7.89,30.242457484887236,48.65
MinSVdelta,0.75,0.0,23.93,141.55,27.60,238.89483647137098,-97.34
MinSVdelta,0.50,0.0,18.54,61.93,21.59,159.28369492064374,-97.35
MinSVdelta,0.38,0.0,12.24,23.71,18.28,121.02629135757414,-97.32
MinSVdelta,0.50,0.24,0.00,0.00,16.02,97.33836364426612,-97.34
Half_minSV_delta,0.75,0.0,28.62,190.21,27.60,238.89483647137098,-48.68
Half_minSV_delta,0.50,0.0,26.34,110.59,21.59,159.28369492064374,-48.69
Half_minSV_delta,0.38,0.0,24.06,72.37,18.28,121.02629135757414,-48.66
Half_minSV_delta,0.50,0.24,21.59,48.66,16.02,97.33836364426612,-48.68
Half_minSV_delta,0.25,0.0,18.54,30.97,14.18,79.58490228035525,-48.61
Cent_SE_pos,0.75,0.0,32.85,238.87,27.60,238.8719381565724,0.0
