crdm_sure_amt,crdm_sure_p,crdm_lott_top,crdm_lott_bot,crdm_lott_p,crdm_amb_lev,crdm_domain,crdm_img,crdm_win_side
0.50,100,8.50,0.00,13,0,gain,risk_red_13.bmp,top
0.50,100,12.50,0.00,13,0,gain,risk_red_13.bmp,top
0.50,100,10.50,0.00,13,0,gain,risk_red_13.bmp,top
0.50,100,71.50,0.00,13,0,gain,risk_red_13.bmp,top
0.50,100,50.00,0.00,25,0,gain,risk_red_25.bmp,top
0.50,100,0.00,8.50,25,0,gain,risk_blue_25.bmp,bottom
0.50,100,75.00,0.00,25,0,gain,risk_red_25.bmp,top
0.50,100,0.00,12.50,25,0,gain,risk_blue_25.bmp,bottom
0.50,100,0.00,35.00,25,0,gain,risk_blue_25.bmp,bottom
0.50,100,0.00,10.50,25,0,gain,risk_blue_25.bmp,bottom
0.50,100,0.50,0.00,25,0,gain,risk_red_25.bmp,top
1.00,100,8.50,0.00,38,0,gain,risk_red_38.bmp,top
1.00,100,0.00,12.50,38,0,gain,risk_blue_38.bmp,bottom
1.00,100,0.00,2.50,38,0,gain,risk_blue_38.bmp,bottom
1.00,100,0.00,10.50,38,0,gain,risk_blue_38.bmp,bottom
1.00,100,0.00,25.00,38,0,gain,risk_blue_38.bmp,bottom
1.00,100,0.00,45.50,38,0,gain,risk_blue_38.bmp,bottom
1.00,100,0.50,0.00,38,0,gain,risk_red_38.bmp,top
2.50,100,0.00,35.00,50,0,gain,risk_blue_50.bmp,bottom
2.50,100,0.00,8.50,50,0,gain,risk_blue_50.bmp,bottom
2.50,100,21.00,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,12.50,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,0.00,10.50,50,0,gain,risk_blue_50.bmp,bottom
2.50,100,4.00,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,0.00,0.50,50,0,gain,risk_blue_50.bmp,bottom
5.50,100,0.00,6.00,75,0,gain,risk_blue_75.bmp,bottom
5.50,100,50.00,0.00,75,0,gain,risk_red_75.bmp,top
5.50,100,0.00,10.50,75,0,gain,risk_blue_75.bmp,bottom
5.50,100,12.50,0.00,75,0,gain,risk_red_75.bmp,top
5.50,100,0.00,8.50,75,0,gain,risk_blue_75.bmp,bottom
5.50,100,0.00,17.00,75,0,gain,risk_blue_75.bmp,bottom
5.50,100,2.50,0.00,75,0,gain,risk_red_75.bmp,top
5.50,100,0.00,25.00,75,0,gain,risk_blue_75.bmp,bottom
1.00,100,0.00,50.00,50,24,gain,risk_blue_50.bmp,bottom
1.00,100,8.50,0.00,50,24,gain,risk_red_50.bmp,top
1.00,100,50.00,0.00,50,24,gain,risk_red_50.bmp,top
1.00,100,12.50,0.00,50,24,gain,risk_red_50.bmp,top
1.00,100,0.50,0.00,50,24,gain,risk_red_50.bmp,top
1.00,100,10.50,0.00,50,24,gain,risk_red_50.bmp,top
