category,p_reward,ambiguity,value_reward,SV_reward,value_safe,SV_New_Safe,deltaSV
MaxSVdelta,0.75,0.0,25.10,3.2,5.65,2.1798258653293265,1.02
MaxSVdelta,0.50,0.0,34.84,2.47,2.3,1.4547136910076874,1.02
MaxSVdelta,0.38,0.0,45.72,2.12,1.25,1.1056292148268607,1.01
MaxSVdelta,0.50,0.24,50.00,2.04,1.04,1.0178059905302963,1.02
MaxSVdelta,0.25,0.0,74.98,1.74,0.49,0.72541784693722,1.01
half_maxSV_delta,0.75,0.0,17.08,2.69,5.65,2.1798258653293265,0.51
half_maxSV_delta,0.50,0.0,20.88,1.96,2.3,1.4547136910076874,0.51
half_maxSV_delta,0.38,0.0,24.87,1.61,1.25,1.1056292148268607,0.5
half_maxSV_delta,0.50,0.24,26.38,1.53,1.04,1.0178059905302963,0.51
half_maxSV_delta,0.25,0.0,34.84,1.24,0.49,0.72541784693722,0.51
half_maxSV_delta,0.50,0.5,46.37,1.05,0.26,0.5454287253304186,0.5
half_maxSV_delta,0.13,0.0,71.29,0.89,0.12,0.38515147084949414,0.5
MinSVdelta,0.75,0.0,2.65,1.16,5.65,2.1798258653293265,-1.02
MinSVdelta,0.50,0.0,0.74,0.44,2.3,1.4547136910076874,-1.01
MinSVdelta,0.38,0.0,0.04,0.09,1.25,1.1056292148268607,-1.02
MinSVdelta,0.50,0.24,0.50,0.0,1.04,1.0178059905302963,-1.02
Half_minSV_delta,0.75,0.0,5.94,1.67,5.65,2.1798258653293265,-0.51
Half_minSV_delta,0.50,0.0,4.11,0.94,2.3,1.4547136910076874,-0.51
Half_minSV_delta,0.38,0.0,2.72,0.6,1.25,1.1056292148268607,-0.51
Half_minSV_delta,0.50,0.24,2.30,0.51,1.04,1.0178059905302963,-0.51
Half_minSV_delta,0.25,0.0,0.74,0.22,0.49,0.72541784693722,-0.51
Half_minSV_delta,0.50,0.5,0.03,0.04,0.26,0.5454287253304186,-0.51
Cent_SE_pos,0.75,0.0,10.72,2.18,5.65,2.180558636897925,0.0
Cent_SE_pos,0.50,0.0,10.72,1.45,2.3,1.45370575793195,0.0
Cent_SE_pos,0.38,0.0,10.72,1.1,1.25,1.1048163760282819,0.0
Cent_SE_pos,0.25,0.0,10.72,0.73,0.49,0.726852878965975,0.0
Cent_SE_pos,0.13,0.0,10.72,0.38,0.12,0.377963497062307,0.0
Cent_SE_pos,0.50,0.24,10.72,1.02,1.04,1.017594030552365,0.0
Cent_SE_pos,0.50,0.5,10.72,0.55,0.26,0.5451396592244813,0.0
Cent_SE_pos,0.50,0.74,10.72,0.11,0.01,0.10902793184489616,0.0
Cent_SE_pos,0.75,0.0,12.72,2.36,5.65,2.180558636897925,0.17
Cent_SE_pos,0.50,0.0,12.72,1.57,2.3,1.45370575793195,0.12
Cent_SE_pos,0.38,0.0,12.72,1.19,1.25,1.1048163760282819,0.09
Cent_SE_pos,0.25,0.0,12.72,0.79,0.49,0.726852878965975,0.06
Cent_SE_pos,0.13,0.0,12.72,0.41,0.12,0.377963497062307,0.03
Cent_SE_pos,0.50,0.24,12.72,1.1,1.04,1.017594030552365,0.08
Cent_SE_pos,0.50,0.5,12.72,0.59,0.26,0.5451396592244813,0.04
Cent_SE_pos,0.50,0.74,12.72,0.12,0.01,0.10902793184489616,0.01
Cent_SE_pos,0.75,0.0,8.72,1.99,5.65,2.180558636897925,-0.19
Cent_SE_pos,0.50,0.0,8.72,1.32,2.3,1.45370575793195,-0.13
Cent_SE_pos,0.38,0.0,8.72,1.01,1.25,1.1048163760282819,-0.1
Cent_SE_pos,0.25,0.0,8.72,0.66,0.49,0.726852878965975,-0.06
Cent_SE_pos,0.13,0.0,8.72,0.34,0.12,0.377963497062307,-0.03
Cent_SE_pos,0.50,0.24,8.72,0.93,1.04,1.017594030552365,-0.09
Cent_SE_pos,0.50,0.5,8.72,0.5,0.26,0.5451396592244813,-0.05
Cent_SE_pos,0.50,0.74,8.72,0.1,0.01,0.10902793184489616,-0.01
MaxSVdelta_Loss,0.75,0.0,-34.91,-24.39,-18.38,-17.34037945947443,-7.04962054052557
MaxSVdelta_Loss,0.50,0.0,-40.07,-18.61,-12.15,-11.558054883238292,-7.051945116761708
MaxSVdelta_Loss,0.50,0.24,-43.64,-16.45,-9.83,-9.39079689039371,-7.059203109606289
MaxSVdelta_Loss,0.38,0.0,-44.97,-15.84,-9.18,-8.781846214477298,-7.058153785522702
MaxSVdelta_Loss,0.50,0.5,-50.00,-14.1,-7.34,-7.053134061509097,-7.046865938490902
MaxSVdelta_Loss,0.25,0.0,-55.62,-12.83,-5.99,-5.779340546561171,-7.050659453438829
MaxSVdelta_Loss,0.50,0.74,-61.32,-11.94,-5.05,-4.88906206539345,-7.05093793460655
MaxSVdelta_Loss,0.13,0.0,-84.54,-10.06,-3.07,-3.0018957638315706,-7.05810423616843
Neg_Half_maxSV_delta,0.75,0.0,-29.77,-20.86,-18.38,-17.34037945947443,-3.519620540525569
Neg_Half_maxSV_delta,0.50,0.0,-32.34,-15.08,-12.15,-11.558054883238292,-3.5219451167617084
Neg_Half_maxSV_delta,0.50,0.24,-34.12,-12.92,-9.83,-9.39079689039371,-3.5292031096062892
Neg_Half_maxSV_delta,0.38,0.0,-34.78,-12.31,-9.18,-8.781846214477298,-3.5281537855227025
Neg_Half_maxSV_delta,0.50,0.5,-37.28,-10.58,-7.34,-7.053134061509097,-3.5268659384909027
Neg_Half_maxSV_delta,0.25,0.0,-40.07,-9.31,-5.99,-5.779340546561171,-3.5306594534388296
Neg_Half_maxSV_delta,0.50,0.74,-42.90,-8.41,-5.05,-4.88906206539345,-3.5209379346065504
Neg_Half_maxSV_delta,0.13,0.0,-54.42,-6.53,-3.07,-3.0018957638315706,-3.5281042361684296
MinSVdelta,0.75,0.0,-14.47,-10.29,-18.38,-17.34037945947443,7.050379459474431
MinSVdelta,0.50,0.0,-9.43,-4.51,-12.15,-11.558054883238292,7.048054883238292
MinSVdelta,0.50,0.24,-5.98,-2.34,-9.83,-9.39079689039371,7.050796890393711
MinSVdelta,0.38,0.0,-4.71,-1.73,-9.18,-8.781846214477298,7.0518462144772975
MinSVdelta,0.50,0.5,0.50,0.0,-7.34,-7.053134061509097,7.053134061509097
Neg_Half_minSV_delta,0.75,0.0,-19.55,-13.81,-18.38,-17.34037945947443,3.53037945947443
Neg_Half_minSV_delta,0.50,0.0,-17.00,-8.03,-12.15,-11.558054883238292,3.5280548832382923
Neg_Half_minSV_delta,0.50,0.24,-15.25,-5.87,-9.83,-9.39079689039371,3.5207968903937106
Neg_Half_minSV_delta,0.38,0.0,-14.60,-5.26,-9.18,-8.781846214477298,3.521846214477298
Neg_Half_minSV_delta,0.50,0.5,-12.15,-3.53,-7.34,-7.053134061509097,3.5231340615090976
Neg_Half_minSV_delta,0.25,0.0,-9.43,-2.25,-5.99,-5.779340546561171,3.529340546561171
Neg_Half_minSV_delta,0.50,0.74,-6.69,-1.36,-5.05,-4.88906206539345,3.5290620653934495
Cent_SE_neg,0.75,0.0,-24.65,-17.34,-18.38,-17.338913179428488,0.0
Cent_SE_neg,0.50,0.0,-24.65,-11.56,-12.15,-11.559275452952326,0.0
Cent_SE_neg,0.38,0.0,-24.65,-8.79,-9.18,-8.785049344243768,0.0
Cent_SE_neg,0.25,0.0,-24.65,-5.78,-5.99,-5.779637726476163,0.0
Cent_SE_neg,0.13,0.0,-24.65,-3.01,-3.07,-3.0054116177676047,0.0
Cent_SE_neg,0.50,0.24,-24.65,-9.4,-9.83,-9.39537908815965,0.0
Cent_SE_neg,0.50,0.5,-24.65,-7.05,-7.34,-7.051158026300919,0.0
Cent_SE_neg,0.50,0.74,-24.65,-4.89,-5.05,-4.8872616615082425,0.0
Cent_SE_neg,0.75,0.0,-22.65,-15.96,-18.38,-17.338913179428488,1.3798878111440658
Cent_SE_neg,0.50,0.0,-22.65,-10.64,-12.15,-11.559275452952326,0.9199252074293778
Cent_SE_neg,0.38,0.0,-22.65,-8.09,-9.18,-8.785049344243768,0.6991431576463274
Cent_SE_neg,0.25,0.0,-22.65,-5.32,-5.99,-5.779637726476163,0.4599626037146889
Cent_SE_neg,0.13,0.0,-22.65,-2.77,-3.07,-3.0054116177676047,0.23918055393163806
Cent_SE_neg,0.50,0.24,-22.65,-8.65,-9.83,-9.39537908815965,0.7477152085985992
Cent_SE_neg,0.50,0.5,-22.65,-6.49,-7.34,-7.051158026300919,0.5611543765319205
Cent_SE_neg,0.50,0.74,-22.65,-4.5,-5.05,-4.8872616615082425,0.3889443777011401
Cent_SE_neg,0.75,0.0,-26.65,-18.72,-18.38,-17.338913179428488,-1.377647868891632
Cent_SE_neg,0.50,0.0,-26.65,-12.48,-12.15,-11.559275452952326,-0.9184319125944214
Cent_SE_neg,0.38,0.0,-26.65,-9.48,-9.18,-8.785049344243768,-0.6980082535717607
Cent_SE_neg,0.25,0.0,-26.65,-6.24,-5.99,-5.779637726476163,-0.4592159562972107
Cent_SE_neg,0.13,0.0,-26.65,-3.24,-3.07,-3.0054116177676047,-0.23879229727454954
Cent_SE_neg,0.50,0.24,-26.65,-10.14,-9.83,-9.39537908815965,-0.7465014585567449
Cent_SE_neg,0.50,0.5,-26.65,-7.61,-7.34,-7.051158026300919,-0.5602434666825964
Cent_SE_neg,0.50,0.74,-26.65,-5.28,-5.05,-4.8872616615082425,-0.3883130126449217
Extr_pos,0.50,0.0,50.00,2.9074115158639,2.296460144180624,1.45370575793195,
Extr_neg,0.25,0.0,-50.00,-11.559275452952326,-5.9903142983801745,-5.779637726476163,
