crdm_sure_amt,crdm_sure_p,crdm_lott_top,crdm_lott_bot,crdm_lott_p,crdm_amb_lev,crdm_domain
9.13,100,53.48,0.00,13,0,gain
9.13,100,0.00,30.48,13,0,gain
9.13,100,0.00,70.28,13,0,gain
9.13,100,32.48,0.00,13,0,gain
9.13,100,0.00,34.48,13,0,gain
13.71,100,0.00,17.24,25,0,gain
13.71,100,30.48,0.00,25,0,gain
13.71,100,54.21,0.00,25,0,gain
13.71,100,0.00,34.48,25,0,gain
13.71,100,0.00,44.17,25,0,gain
13.71,100,32.48,0.00,25,0,gain
17.79,100,0.00,23.14,38,0,gain
17.79,100,0.00,10.37,38,0,gain
17.79,100,34.48,0.00,38,0,gain
17.79,100,32.48,0.00,38,0,gain
17.79,100,40.41,0.00,38,0,gain
17.79,100,30.48,0.00,38,0,gain
17.79,100,0.00,47.48,38,0,gain
21.10,100,0.00,34.48,50,0,gain
21.10,100,0.00,30.48,50,0,gain
21.10,100,25.57,0.00,50,0,gain
21.10,100,44.17,0.00,50,0,gain
21.10,100,0.00,17.24,50,0,gain
21.10,100,0.00,32.48,50,0,gain
21.10,100,38.60,0.00,50,0,gain
27.16,100,36.63,0.00,75,0,gain
27.16,100,0.00,32.48,75,0,gain
27.16,100,0.00,23.00,75,0,gain
27.16,100,0.00,34.48,75,0,gain
27.16,100,27.99,0.00,75,0,gain
27.16,100,30.48,0.00,75,0,gain
27.16,100,0.00,40.51,75,0,gain
15.97,100,0.00,32.48,50,24,gain
15.97,100,0.00,34.48,50,24,gain
15.97,100,21.10,0.00,50,24,gain
15.97,100,0.00,30.48,50,24,gain
15.97,100,50.00,0.00,50,24,gain
15.97,100,0.00,0.00,50,24,gain
15.97,100,0.00,41.81,50,24,gain
8.85,100,0.00,34.48,50,50,gain
8.85,100,32.48,0.00,50,50,gain
8.85,100,30.48,0.00,50,50,gain
8.85,100,0.00,54.42,50,50,gain
8.85,100,71.86,0.00,50,50,gain
-0.07,100,0.00,-7.49,13,0,loss
-0.07,100,-9.49,0.00,13,0,loss
-0.07,100,0.00,-11.49,13,0,loss
-0.34,100,0.00,-7.49,25,0,loss
-0.34,100,-11.49,0.00,25,0,loss
-0.34,100,0.00,-9.49,25,0,loss
-0.34,100,-56.81,0.00,25,0,loss
-0.93,100,0.00,-0.41,38,0,loss
-0.93,100,-9.49,0.00,38,0,loss
-0.93,100,0.00,-82.12,38,0,loss
-0.93,100,0.00,-7.49,38,0,loss
-0.93,100,-11.49,0.00,38,0,loss
-0.93,100,0.00,-35.31,38,0,loss
-1.80,100,0.00,-9.49,50,0,loss
-1.80,100,0.00,-7.49,50,0,loss
-1.80,100,-56.81,0.00,50,0,loss
-1.80,100,-1.36,0.00,50,0,loss
-1.80,100,0.00,-27.34,50,0,loss
-1.80,100,-11.49,0.00,50,0,loss
-4.76,100,-35.79,0.00,75,0,loss
-4.76,100,0.00,-7.49,75,0,loss
-4.76,100,-3.14,0.00,75,0,loss
-4.76,100,0.00,-0.38,75,0,loss
-4.76,100,0.00,-20.18,75,0,loss
-4.76,100,0.00,-11.49,75,0,loss
-4.76,100,-9.49,0.00,75,0,loss
-2.31,100,0.00,-7.49,50,24,loss
-2.31,100,-9.49,0.00,50,24,loss
-2.31,100,0.00,-1.80,50,24,loss
-2.31,100,0.00,-50.00,50,24,loss
-2.31,100,0.00,-11.49,50,24,loss
-2.31,100,0.00,-0.00,50,24,loss
-2.31,100,0.00,-25.08,50,24,loss
-2.95,100,0.00,-11.49,50,50,loss
-2.95,100,0.00,-7.49,50,50,loss
-2.95,100,0.00,-9.49,50,50,loss
-2.95,100,-2.25,0.00,50,50,loss
-2.95,100,0.00,-44.41,50,50,loss
-2.95,100,0.00,-23.19,50,50,loss
-2.95,100,0.00,-0.03,50,50,loss
-3.62,100,-11.49,0.00,50,74,loss
-3.62,100,-9.49,0.00,50,74,loss
-3.62,100,-40.38,0.00,50,74,loss
-3.62,100,-21.80,0.00,50,74,loss
-3.62,100,0.00,-0.14,50,74,loss
-3.62,100,0.00,-2.63,50,74,loss
-3.62,100,0.00,-7.49,50,74,loss
