category,p_reward,ambiguity,value_reward,SV_reward,value_safe,SV_New_Safe,deltaSV
MaxSVdelta,0.75,0.0,40.51,287.58,27.16,201.68997621460124,85.89
MaxSVdelta,0.50,0.0,44.17,220.35,21.10,134.41682156537996,85.93
MaxSVdelta,0.38,0.0,47.48,188.08,17.79,102.17529539773169,85.9
MaxSVdelta,0.50,0.24,50.00,171.76,15.97,85.90380742240518,85.86
MaxSVdelta,0.25,0.0,54.21,153.11,13.71,67.22085057244557,85.89
MaxSVdelta,0.13,0.0,70.28,120.84,9.13,34.971730695248354,85.87
MaxSVdelta,0.50,0.5,71.86,119.13,8.85,33.26404300241654,85.87
half_maxSV_delta,0.75,0.0,36.63,244.64,27.16,201.68997621460124,42.95
half_maxSV_delta,0.50,0.0,38.60,177.41,21.10,134.41682156537996,42.99
half_maxSV_delta,0.38,0.0,40.41,145.13,17.79,102.17529539773169,42.95
half_maxSV_delta,0.50,0.24,41.81,128.82,15.97,85.90380742240518,42.92
half_maxSV_delta,0.25,0.0,44.17,110.17,13.71,67.22085057244557,42.95
half_maxSV_delta,0.13,0.0,53.48,77.90,9.13,34.971730695248354,42.93
half_maxSV_delta,0.50,0.5,54.42,76.19,8.85,33.26404300241654,42.93
MinSVdelta,0.75,0.0,23.00,115.82,27.16,201.68997621460124,-85.87
MinSVdelta,0.50,0.0,17.24,48.58,21.10,134.41682156537996,-85.84
MinSVdelta,0.38,0.0,10.37,16.31,17.79,102.17529539773169,-85.87
MinSVdelta,0.50,0.24,0.00,0.00,15.97,85.90380742240518,-85.9
Half_minSV_delta,0.75,0.0,27.99,158.76,27.16,201.68997621460124,-42.93
Half_minSV_delta,0.50,0.0,25.57,91.52,21.10,134.41682156537996,-42.9
Half_minSV_delta,0.38,0.0,23.14,59.25,17.79,102.17529539773169,-42.93
Half_minSV_delta,0.50,0.24,21.10,42.94,15.97,85.90380742240518,-42.96
Half_minSV_delta,0.25,0.0,17.24,24.29,13.71,67.22085057244557,-42.93
Cent_SE_pos,0.75,0.0,32.48,201.70,27.16,201.69802021485975,0.0
Cent_SE_pos,0.50,0.0,32.48,134.47,21.10,134.4653468099065,0.0
Cent_SE_pos,0.38,0.0,32.48,102.19,17.79,102.19366357552893,0.0
Cent_SE_pos,0.25,0.0,32.48,67.23,13.71,67.23267340495325,0.0
Cent_SE_pos,0.13,0.0,32.48,34.96,9.13,34.96099017057569,0.0
Cent_SE_pos,0.50,0.24,32.48,85.88,15.97,85.88151911774735,0.0
Cent_SE_pos,0.50,0.5,32.48,33.25,8.85,33.24903911790826,0.0
Cent_SE_pos,0.75,0.0,34.48,222.03,27.16,201.69802021485975,20.33
Cent_SE_pos,0.50,0.0,34.48,148.02,21.10,134.4653468099065,13.55
Cent_SE_pos,0.38,0.0,34.48,112.49,17.79,102.19366357552893,10.3
Cent_SE_pos,0.25,0.0,34.48,74.01,13.71,67.23267340495325,6.78
Cent_SE_pos,0.13,0.0,34.48,38.48,9.13,34.96099017057569,3.52
Cent_SE_pos,0.50,0.24,34.48,94.54,15.97,85.88151911774735,8.66
Cent_SE_pos,0.50,0.5,34.48,36.60,8.85,33.24903911790826,3.35
Cent_SE_pos,0.75,0.0,30.48,182.12,27.16,201.69802021485975,-19.58
Cent_SE_pos,0.50,0.0,30.48,121.41,21.10,134.4653468099065,-13.06
Cent_SE_pos,0.38,0.0,30.48,92.27,17.79,102.19366357552893,-9.92
Cent_SE_pos,0.25,0.0,30.48,60.71,13.71,67.23267340495325,-6.53
Cent_SE_pos,0.13,0.0,30.48,31.57,9.13,34.96099017057569,-3.39
Cent_SE_pos,0.50,0.24,30.48,77.54,15.97,85.88151911774735,-8.34
Cent_SE_pos,0.50,0.5,30.48,30.02,8.85,33.24903911790826,-3.23
MaxSVdelta_Loss,0.75,0.0,-35.79,-3.33,-4.76,-1.9169496830928987,-1.4130503169071014
MaxSVdelta_Loss,0.50,0.74,-40.38,-3.13,-3.62,-1.710100200359776,-1.4198997996402238
MaxSVdelta_Loss,0.50,0.5,-44.41,-2.99,-2.95,-1.5701801672873072,-1.419819832712693
MaxSVdelta_Loss,0.50,0.24,-50.00,-2.84,-2.31,-1.4179218094714456,-1.4220781905285542
MaxSVdelta_Loss,0.50,0.0,-56.81,-2.70,-1.80,-1.2778119605371605,-1.4221880394628397
