category,p_reward,ambiguity,value_reward,SV_reward,value_safe,SV_New_Safe,deltaSV
MaxSVdelta,0.75,0.0,37.17,23.74,17.91,15.75238759965692,7.99
MaxSVdelta,0.50,0.0,43.74,18.49,11.72,10.504415639032192,7.99
MaxSVdelta,0.50,0.24,47.18,16.93,9.91,8.948683607431466,7.98
MaxSVdelta,0.38,0.0,50.00,15.96,8.79,7.979792217200088,7.98
MaxSVdelta,0.50,0.5,52.60,15.24,7.96,7.2582543512059425,7.98
MaxSVdelta,0.50,0.74,60.48,13.69,6.19,5.707803065424334,7.98
MaxSVdelta,0.25,0.0,63.68,13.23,5.67,5.2487606121767865,7.98
half_maxSV_delta,0.75,0.0,30.66,19.75,17.91,15.75238759965692,4.0
half_maxSV_delta,0.50,0.0,33.91,14.49,11.72,10.504415639032192,3.99
half_maxSV_delta,0.50,0.24,35.61,12.94,9.91,8.948683607431466,3.99
half_maxSV_delta,0.38,0.0,37.00,11.97,8.79,7.979792217200088,3.99
half_maxSV_delta,0.50,0.5,38.28,11.25,7.96,7.2582543512059425,3.99
half_maxSV_delta,0.50,0.74,42.16,9.70,6.19,5.707803065424334,3.99
half_maxSV_delta,0.25,0.0,43.74,9.24,5.67,5.2487606121767865,3.99
half_maxSV_delta,0.13,0.0,62.14,6.72,2.86,2.7293716865903623,3.99
MinSVdelta,0.75,0.0,11.56,7.77,17.91,15.75238759965692,-7.98
MinSVdelta,0.50,0.0,5.44,2.52,11.72,10.504415639032192,-7.98
MinSVdelta,0.50,0.24,2.35,0.97,9.91,8.948683607431466,-7.98
MinSVdelta,0.38,0.0,0.00,0.00,8.79,7.979792217200088,-7.98
Half_minSV_delta,0.75,0.0,17.83,11.76,17.91,15.75238759965692,-3.99
Half_minSV_delta,0.50,0.0,14.68,6.51,11.72,10.504415639032192,-3.99
Half_minSV_delta,0.50,0.24,13.04,4.96,9.91,8.948683607431466,-3.99
Half_minSV_delta,0.38,0.0,11.72,3.99,8.79,7.979792217200088,-3.99
Half_minSV_delta,0.50,0.5,10.51,3.27,7.96,7.2582543512059425,-3.99
Half_minSV_delta,0.50,0.74,6.88,1.72,6.19,5.707803065424334,-3.99
Half_minSV_delta,0.25,0.0,5.44,1.26,5.67,5.2487606121767865,-3.99
Cent_SE_pos,0.75,0.0,24.21,15.75,17.91,15.754894084332562,0.0
Cent_SE_pos,0.50,0.0,24.21,10.50,11.72,10.503262722888376,0.0
Cent_SE_pos,0.38,0.0,24.21,7.98,8.79,7.982479669395166,0.0
Cent_SE_pos,0.25,0.0,24.21,5.25,5.67,5.251631361444188,0.0
Cent_SE_pos,0.13,0.0,24.21,2.73,2.86,2.730848307950978,0.0
Cent_SE_pos,0.50,0.24,24.21,8.95,9.91,8.9476199592504,0.0
Cent_SE_pos,0.50,0.5,24.21,7.26,7.96,7.262340298642592,0.0
Cent_SE_pos,0.50,0.74,24.21,5.71,6.19,5.706697535004614,0.0
Cent_SE_pos,0.75,0.0,26.21,17.00,17.91,15.754894084332562,1.24
Cent_SE_pos,0.50,0.0,26.21,11.33,11.72,10.503262722888376,0.83
Cent_SE_pos,0.38,0.0,26.21,8.61,8.79,7.982479669395166,0.63
Cent_SE_pos,0.25,0.0,26.21,5.67,5.67,5.251631361444188,0.41
Cent_SE_pos,0.13,0.0,26.21,2.95,2.86,2.730848307950978,0.22
Cent_SE_pos,0.50,0.24,26.21,9.65,9.91,8.9476199592504,0.71
Cent_SE_pos,0.50,0.5,26.21,7.83,7.96,7.262340298642592,0.57
Cent_SE_pos,0.50,0.74,26.21,6.16,6.19,5.706697535004614,0.45
Cent_SE_pos,0.75,0.0,22.21,14.51,17.91,15.754894084332562,-1.25
Cent_SE_pos,0.50,0.0,22.21,9.67,11.72,10.503262722888376,-0.83
Cent_SE_pos,0.38,0.0,22.21,7.35,8.79,7.982479669395166,-0.63
Cent_SE_pos,0.25,0.0,22.21,4.84,5.67,5.251631361444188,-0.42
Cent_SE_pos,0.13,0.0,22.21,2.51,2.86,2.730848307950978,-0.22
Cent_SE_pos,0.50,0.24,22.21,8.24,9.91,8.9476199592504,-0.71
Cent_SE_pos,0.50,0.5,22.21,6.69,7.96,7.262340298642592,-0.57
Cent_SE_pos,0.50,0.74,22.21,5.26,6.19,5.706697535004614,-0.45
MaxSVdelta_Loss,0.50,0.74,-30.66,-5.98,-12.31,-3.8988739886181767,-2.0811260113818237
MaxSVdelta_Loss,0.50,0.5,-34.26,-5.39,-9.10,-3.3099195802438466,-2.080080419756153
MaxSVdelta_Loss,0.75,0.0,-35.72,-5.21,-8.19,-3.1261950471438533,-2.0838049528561466
MaxSVdelta_Loss,0.50,0.24,-40.31,-4.76,-6.13,-2.671883646346424,-2.0881163536535756
MaxSVdelta_Loss,0.50,0.0,-50.00,-4.17,-3.87,-2.0823310036985356,-2.0876689963014643
MaxSVdelta_Loss,0.38,0.0,-65.53,-3.67,-2.34,-1.585336805080724,-2.084663194919276
